Nodes,Range,DP,PDP,TDP,ExDP,IDP
100,125,59.30,50.00,48.30,45.10,43.00
100,150,63.40,50.80,47.50,41.90,35.10
100,175,59.80,48.30,45.60,38.00,32.20
100,200,63.90,47.20,42.10,33.60,21.60
100,225,59.80,35.80,33.10,21.30,15.50
200,125,147.40,124.40,121.30,111.70,104.70
200,150,141.50,116.30,108.60,92.10,84.40
200,175,137.90,109.10,105.30,85.40,71.20
200,200,130.60,94.40,90.30,67.00,50.00
200,225,118.20,80.10,71.20,47.50,31.20
300,125,221.70,196.10,189.50,170.20,159.00
300,150,226.10,189.50,182.20,156.00,143.60
300,175,211.60,165.90,157.10,128.50,101.00
300,200,195.50,142.70,135.00,96.90,66.70
300,225,183.30,112.10,93.70,50.40,35.60
400,125,309.30,267.30,261.90,233.40,217.50
400,150,293.80,247.70,238.50,198.80,182.90
400,175,293.30,231.50,215.60,170.90,138.40
400,200,270.10,194.70,186.50,137.60,95.30
400,225,236.00,151.40,133.60,72.20,51.70
500,125,391.90,341.30,330.90,297.70,276.50
500,150,380.90,320.00,308.40,265.20,243.00
500,175,366.90,291.00,276.20,225.30,178.10
500,200,331.80,252.20,237.50,163.70,114.90
500,225,310.10,204.20,182.20,101.90,61.80
