Nodes,Range,SP,DP,ISP,ESP,EESP,IDP
100,125,0.00,81.70,0.00,0.00,0.00,61.60
100,150,0.00,75.00,0.00,0.00,0.00,50.90
100,175,0.00,50.90,0.00,0.00,0.00,35.50
100,200,0.00,45.60,0.00,0.00,0.00,32.00
100,225,0.00,38.30,0.00,0.00,0.00,20.90
200,125,0.00,168.40,0.00,0.00,0.00,125.70
200,150,0.00,148.70,0.00,0.00,0.00,107.20
200,175,0.00,115.20,0.00,0.00,0.00,78.90
200,200,0.00,73.40,0.00,0.00,0.00,49.50
200,225,0.00,57.80,0.00,0.00,0.00,39.60
350,125,0.00,313.40,0.00,0.00,0.00,226.50
350,150,0.00,217.30,0.00,0.00,0.00,161.60
350,175,0.00,168.60,0.00,0.00,0.00,115.30
350,200,0.00,92.00,0.00,0.00,0.00,63.10
350,225,0.00,66.60,0.00,0.00,0.00,42.10
400,125,0.00,343.10,0.00,0.00,0.00,248.50
400,150,0.00,242.00,0.00,0.00,0.00,174.50
400,175,0.00,165.10,0.00,0.00,0.00,107.90
400,200,0.00,102.40,0.00,0.00,0.00,63.60
400,225,0.00,68.70,0.00,0.00,0.00,44.10
500,125,0.00,440.10,0.00,0.00,0.00,310.70
500,150,0.00,325.00,0.00,0.00,0.00,214.20
500,175,0.00,176.00,0.00,0.00,0.00,113.30
500,200,0.00,100.10,0.00,0.00,0.00,69.40
500,225,0.00,78.40,0.00,0.00,0.00,49.80
