Nodes,Range,SP,DP,ISP,ESP,EESP,IDP
100,125,89.10,59.70,40.10,37.10,36.20,0.00
100,150,92.60,62.00,33.50,30.00,29.90,0.00
100,175,93.00,60.20,26.00,23.10,22.80,0.00
100,200,93.40,61.60,22.60,19.40,18.40,0.00
100,225,94.50,60.70,20.00,16.10,15.60,0.00
200,125,192.30,141.60,69.00,60.00,59.00,0.00
200,150,193.30,139.20,58.70,49.50,48.90,0.00
200,175,193.80,137.10,46.90,41.60,41.20,0.00
200,200,191.70,125.20,34.30,27.60,27.20,0.00
200,225,191.60,116.30,29.30,27.30,27.00,0.00
350,125,343.80,261.80,108.40,90.70,89.20,0.00
350,150,343.10,258.80,87.10,67.40,66.10,0.00
350,175,342.40,238.10,66.70,56.00,55.20,0.00
350,200,341.70,227.40,47.10,42.70,41.80,0.00
350,225,340.70,206.80,40.70,33.30,33.00,0.00
400,125,394.70,305.30,121.00,102.90,98.80,0.00
400,150,394.10,297.40,93.90,76.40,74.90,0.00
400,175,393.10,288.00,73.10,52.70,52.10,0.00
400,200,390.30,254.50,57.90,43.20,42.70,0.00
400,225,389.10,231.00,42.60,36.10,35.80,0.00
500,125,495.00,388.50,149.10,118.70,117.00,0.00
500,150,492.30,371.90,116.20,95.60,93.80,0.00
500,175,494.50,353.60,79.60,58.00,57.30,0.00
500,200,492.10,330.20,62.90,49.40,48.70,0.00
500,225,483.80,289.50,52.60,43.30,43.10,0.00
